     istep       time        |phi|^2       |apar|^2       |bpar|^2
      5760   5.7600E+001   5.5553E+004   0.0000E+000   0.0000E+000
      5780   5.7800E+001   5.8144E+004   0.0000E+000   0.0000E+000
      5800   5.8000E+001   6.0856E+004   0.0000E+000   0.0000E+000
      5820   5.8200E+001   6.3694E+004   0.0000E+000   0.0000E+000
      5840   5.8400E+001   6.6666E+004   0.0000E+000   0.0000E+000
      5860   5.8600E+001   6.9776E+004   0.0000E+000   0.0000E+000
      5880   5.8800E+001   7.3032E+004   0.0000E+000   0.0000E+000
      5900   5.9000E+001   7.6440E+004   0.0000E+000   0.0000E+000
      5920   5.9200E+001   8.0007E+004   0.0000E+000   0.0000E+000
      5940   5.9400E+001   8.3741E+004   0.0000E+000   0.0000E+000
      5960   5.9600E+001   8.7650E+004   0.0000E+000   0.0000E+000
      5980   5.9800E+001   9.1743E+004   0.0000E+000   0.0000E+000
      6000   6.0000E+001   9.6026E+004   0.0000E+000   0.0000E+000
      6020   6.0200E+001   1.0051E+005   0.0000E+000   0.0000E+000
      6040   6.0400E+001   1.0521E+005   0.0000E+000   0.0000E+000
      6060   6.0600E+001   1.1012E+005   0.0000E+000   0.0000E+000
      6080   6.0800E+001   1.1526E+005   0.0000E+000   0.0000E+000
      6100   6.1000E+001   1.2065E+005   0.0000E+000   0.0000E+000
      6120   6.1200E+001   1.2629E+005   0.0000E+000   0.0000E+000
      6140   6.1400E+001   1.3219E+005   0.0000E+000   0.0000E+000
      6160   6.1600E+001   1.3837E+005   0.0000E+000   0.0000E+000
      6180   6.1800E+001   1.4484E+005   0.0000E+000   0.0000E+000
      6200   6.2000E+001   1.5161E+005   0.0000E+000   0.0000E+000
      6220   6.2200E+001   1.5870E+005   0.0000E+000   0.0000E+000
      6240   6.2400E+001   1.6612E+005   0.0000E+000   0.0000E+000
      6260   6.2600E+001   1.7389E+005   0.0000E+000   0.0000E+000
      6280   6.2800E+001   1.8203E+005   0.0000E+000   0.0000E+000
      6300   6.3000E+001   1.9055E+005   0.0000E+000   0.0000E+000
      6320   6.3200E+001   1.9946E+005   0.0000E+000   0.0000E+000
      6340   6.3400E+001   2.0880E+005   0.0000E+000   0.0000E+000
      6360   6.3600E+001   2.1857E+005   0.0000E+000   0.0000E+000
      6380   6.3800E+001   2.2881E+005   0.0000E+000   0.0000E+000
      6400   6.4000E+001   2.3952E+005   0.0000E+000   0.0000E+000
      6420   6.4200E+001   2.5073E+005   0.0000E+000   0.0000E+000
      6440   6.4400E+001   2.6248E+005   0.0000E+000   0.0000E+000
      6460   6.4600E+001   2.7477E+005   0.0000E+000   0.0000E+000
      6480   6.4800E+001   2.8764E+005   0.0000E+000   0.0000E+000
      6500   6.5000E+001   3.0112E+005   0.0000E+000   0.0000E+000
      6520   6.5200E+001   3.1522E+005   0.0000E+000   0.0000E+000
      6540   6.5400E+001   3.3000E+005   0.0000E+000   0.0000E+000
      6560   6.5600E+001   3.4546E+005   0.0000E+000   0.0000E+000
      6580   6.5800E+001   3.6165E+005   0.0000E+000   0.0000E+000
      6600   6.6000E+001   3.7861E+005   0.0000E+000   0.0000E+000
      6620   6.6200E+001   3.9635E+005   0.0000E+000   0.0000E+000
      6640   6.6400E+001   4.1494E+005   0.0000E+000   0.0000E+000
      6660   6.6600E+001   4.3439E+005   0.0000E+000   0.0000E+000
      6680   6.6800E+001   4.5476E+005   0.0000E+000   0.0000E+000
      6700   6.7000E+001   4.7609E+005   0.0000E+000   0.0000E+000
      6720   6.7200E+001   4.9842E+005   0.0000E+000   0.0000E+000
      6740   6.7400E+001   5.2180E+005   0.0000E+000   0.0000E+000
      6760   6.7600E+001   5.4627E+005   0.0000E+000   0.0000E+000
      6780   6.7800E+001   5.7190E+005   0.0000E+000   0.0000E+000
      6800   6.8000E+001   5.9873E+005   0.0000E+000   0.0000E+000
      6820   6.8200E+001   6.2683E+005   0.0000E+000   0.0000E+000
      6840   6.8400E+001   6.5624E+005   0.0000E+000   0.0000E+000
      6860   6.8600E+001   6.8703E+005   0.0000E+000   0.0000E+000
